task_name,kullm12.8b,kullm5.8b,gpt-3.5-turbo,ko_vicuna_7b,llama2_13b
ko_quiz_1,0.08316831683168317,0.08316831683168317,0.5854785478547855,0.3108910891089109,0.37095709570957097
ko_quiz_2,0.021621621621621623,0.07027027027027027,0.3837837837837838,0.5027027027027027,0.34594594594594597
ko_quiz_3,0.09243697478991597,0.008403361344537815,0.31932773109243695,0.06722689075630252,0.0
ko_quiz_4,0.017167381974248927,0.017167381974248927,0.19313304721030042,0.034334763948497854,0.09871244635193133
ko_quiz_5,0.047516198704103674,0.004319654427645789,0.4427645788336933,0.056155507559395246,0.03023758099352052
ko_quiz_6,0.025157232704402517,0.031446540880503145,0.5723270440251572,0.29559748427672955,0.24528301886792453
ko_quiz_7,0.03188405797101449,0.02318840579710145,0.25217391304347825,0.057971014492753624,0.0463768115942029
ko_quiz_8,0.10204081632653061,0.02040816326530612,0.30612244897959184,0.24489795918367346,0.24489795918367346
nli,0.06106106106106106,0.05005005005005005,0.3083083083083083,0.12112112112112113,0.2022022022022022
number_1,0.04904904904904905,0.009009009009009009,0.07907907907907907,0.0,0.001001001001001001
number_2,0.03903903903903904,0.031031031031031032,0.6336336336336337,0.0,0.014014014014014014
number_3,0.008274984086569064,0.031190324633991087,0.036282622533418206,0.02928071292170592,0.056015276893698285
reasoning,0.497,0.486,0.663,0.404,0.561
spelling_correct,0.051656934278195586,0.0520033092595544,0.34173928836382106,0.0482136270292608,0.054815803541112616
summarization,0.7120201219320297,0.7121426434516906,0.7357575473189354,0.6945806580483913,0.7111479728519916
translation,1.8684613018474698,2.0062538012005025,23.04321614460163,1.6851824757118945,2.2910944280941137
